date;task;correct;is_correct;is_incorrect
2022-10-01;Задача 1;3;Good! Answer 3 is correct for task 1.;No! Answer 3 is correct for task 1.
2022-10-02;Задача 2;2;Good! Answer 2 is correct for task 2.;No! Answer 2 is correct for task 2.
2022-10-03;Задача 3;1;Good! Answer 1 is correct for task 3.;No! Answer 1 is correct for task 3.
2022-10-04;"Какой ученый здесь лишний?

1. Эйнштейн
2. Ньютон
3. Флеминг
4. Тесла";3;Верно, лишний ученый в этом списке Флеминг, т.к. он биолог, а не физик;Неверно, лишний ученый в этом списке Флеминг, т.к. он биолог, а не физик
2022-10-05;"Какой сегодня праздник?

1. День космонавтики
2. День программиста
3. День учителя
4. День пограничника";3;Правильно! 5 октября - Всемирный день учителя.;Неправильно! 5 октября - Всемирный день учителя.
2022-10-06;"Назовите лишнее слово:

1. Умный
2. Способный
3. Отличник
4. Воспитанный";3;"Верно! Молодец! ""Отличник"" - существительное, в отличии от остальных слов.";"Неправильно! ""Отличник"" - существительное, в отличии от остальных слов."
2022-10-07;"У Сони 5 дочерей. У каждой дочери есть 1 брат.
Сколько детей у Сони?

1. 10
2. 6
3. 12
4. 8";2;Верно! 5 дочерей и 1 сын, который и является для всех дочерей братом.;Неверно, правильный ответ - 6. 5 дочерей и 1 сын, который и является для всех дочерей братом.
2022-10-08;"Расшифруйте анаграммы и исключите слово, которое является лишним:

1. РЕСТЯБ
2. ОШКНУР
3. БТУРКЕ
4. РОБОЙЕВ";4;Верно, это ВОРОБЕЙ. Остальные слова - хищные птицы: ястреб, коршун, беркут.;Неверно, правильный вариант ответа - 4 - ВОРОБЕЙ. Остальные слова - хищные птицы: ястреб, коршун, беркут.
2022-10-09;"Один кролик увидел 6 слонов, когда шел к реке. Каждый слон видел, как 2 обезьяны идут к реке. Каждая обезьяна держит в руках по одной черепахе.
Сколько животных идет к реке?

1. 14
2. 11
3. 8
4. 3";4;Верно! К реке идут кролик, и две обезьяны, каждая при этом держит в руках черепаху, которые не идут к реке, их несут. К реке идут всего 3 животных, а слоны ни при чем. Итого, правильный ответ 4 — к реке идут 3 животных.;"В этой загадке много ловушек. Первая из них заключена в условии. Внимательно читайте его! Задание звучит так: сколько животных идут к реке?
К реке идут кролик, и две обезьяны, каждая при этом держит в руках черепаху, которые не идут к реке, их несут. К ре"
2022-10-10;"Если полста разделить на половину, то сколько в итоге получится?

1. 100
2. 50
3. 25
4. 200";1;Верно! 50 делим на 1/2, что равносильно умножению на 2. Получаем 100.;Неправильно! Полста (50) делим на половину (1/2), что равносильно умножению на 2. Получаем 100.
2022-10-11;"Кирпич весит килограмм и еще полкирпича. Сколько весит кирпич?

1. 1,5 кг
2. 2 кг
3. 2,5 кг
4. 3 кг";2;Верно!;"Неверно, смотри решение:
х - вес кирпича
0,5х - весит полкирпича
1+0,5х - вес кирпича (по условию вопроса)
х=1+0,5х
х-0,5х=1
0,5х=1
х=2
вес кирпича - 2кг"
2022-10-12;"Какой из выводов, указанных ниже, верный:

1. Здесь три ложных вывода.
2. Здесь один ложный вывод.
3. Здесь два ложных вывода.
4. Здесь четыре ложных вывода.";1;Верно! В связи с тем, что один является верным, а остальные не верные.;Неверно! Правильный вариант ответа - 1. В связи с тем, что один является верным, а остальные не верные.
2022-10-13;"На сколько сумма всех четных чисел имеющихся в последовательности от 1 до 100 больше суммы всех нечетных чисел этой же последовательности?

1. 100
2. 2
3. 50
4. 10";3;Верно! Сумма всех четных числе больше на 50 суммы всех нечетных. Если сравнивать каждый раз пару чисел, начиная со ста, то получим : 100 – 99 = 1, 98 – 97 = 1. В итоге получится 50 пар для сравнения и в каждой разность будет равна единице.;Неверно! Сумма всех четных числе больше на 50 суммы всех нечетных. Если сравнивать каждый раз пару чисел, начиная со ста, то получим : 100 – 99 = 1, 98 – 97 = 1. В итоге получится 50 пар для сравнения и в каждой разность будет равна единице.
2022-10-14;Один человек завещал наследство в сумме немного меньше 1500 фунтов. Сумма делилась на пятерых его детей, и небольшая часть доставалась нотариусу. Квадратный корень из доли первого сына, половина наследства второго, доля третьего минус 2 фунта, доля четвер;4;Верно! Завещанная сумма наследства составляла 1464 фунта. Первый сын получил 1296 фунтов, второй 72, третий 38, четвертый 34, пятый 18, нотариус получил 6 фунтов.;Неверно! Завещанная сумма наследства составляла 1464 фунта. Первый сын получил 1296 фунтов, второй 72, третий 38, четвертый 34, пятый 18, нотариус получил 6 фунтов.
2022-10-15;Имеется два ведра. В одном 5 литров воды, в другом столько же спирта. Из ведра воды было взято 0,5 литра и перелито в ведро со спиртом. После тщательного перемешивания из ведра со спиртом и 0,5 литром воды было взято 0,5 литра смеси и перелито в ведро с в;3;"Верно! В ведре со спиртом столько же воды, сколько в ведре с водой спирта. 
Решение: допустим, в каждом из ведер находится по 100 единиц жидкости, например, в ведре со спиртом 100х и в ведре с водой 100у. 
Перельем 0,5 литра, т.е. 10 единиц воды (т.е. 10у";"Неверно! В ведре со спиртом столько же воды, сколько в ведре с водой спирта. 
Решение: допустим, в каждом из ведер находится по 100 единиц жидкости, например, в ведре со спиртом 100х и в ведре с водой 100у. 
Перельем 0,5 литра, т.е. 10 единиц воды (т.е. 1"
